,fid,nunivotcda,cocursodag,cocdadesag,max
0,65,6.0,863148,86314,7.275
1,65,6.0,863148,86314,7.275
2,65,6.0,863148,86314,7.2749999999999995
3,65,6.0,863148,86314,7.2749999999999995
4,65,6.0,863148,86314,7.2749999999999995
5,65,6.0,863148,86314,7.275
6,65,6.0,863148,86314,7.275
7,65,6.0,863148,86314,7.275
8,65,6.0,863148,86314,7.2749999999999995
9,65,6.0,863148,86314,7.275
10,65,6.0,863148,86314,7.275
11,65,6.0,863148,86314,7.275
12,65,6.0,863148,86314,7.2749999999999995
13,65,6.0,863148,86314,7.275
14,65,6.0,863148,86314,7.275
15,65,6.0,863148,86314,7.275
16,65,6.0,863148,86314,7.275
17,2433,9.0,863136462,86313646,7.275
18,2433,9.0,863136462,86313646,7.275
19,2485,8.0,86313636,863136,7.275
20,2485,8.0,86313636,863136,7.275
21,2485,8.0,86313636,863136,7.275
22,2485,8.0,86313636,863136,7.275
23,2487,9.0,863136364,86313636,7.2749999999999995
24,2487,9.0,863136364,86313636,7.2749999999999995
25,2493,8.0,86313644,8631364,7.275
26,2493,8.0,86313644,8631364,7.275
27,2493,8.0,86313644,8631364,7.275
28,2493,8.0,86313644,8631364,7.275
29,2493,8.0,86313644,8631364,7.275
30,2493,8.0,86313644,8631364,7.275
31,2493,8.0,86313644,8631364,7.275
32,2495,7.0,8631364,863136,7.275
33,2495,7.0,8631364,863136,7.275
34,2495,7.0,8631364,863136,7.275
35,2495,7.0,8631364,863136,7.275
36,2495,7.0,8631364,863136,7.275
37,2495,7.0,8631364,863136,7.275
38,2495,7.0,8631364,863136,7.275
39,2495,7.0,8631364,863136,7.275
40,2495,7.0,8631364,863136,7.275
41,2495,7.0,8631364,863136,7.275
42,2496,9.0,863136442,86313644,7.275
43,2496,9.0,863136442,86313644,7.275
44,2496,9.0,863136442,86313644,7.275
45,2497,10.0,8631364422,863136442,7.275
46,2497,10.0,8631364422,863136442,7.275
47,2498,9.0,863136444,86313644,7.275
48,2498,9.0,863136444,86313644,7.275
49,2499,9.0,863136446,86313644,7.275
50,2499,9.0,863136446,86313644,7.275
51,2500,9.0,863136448,86313644,7.275
52,2500,9.0,863136448,86313644,7.275
53,2502,8.0,86313646,8631364,7.275
54,2502,8.0,86313646,8631364,7.275
55,2502,8.0,86313646,8631364,7.275
56,2507,9.0,863136492,8631364,7.2749999999999995
57,2507,9.0,863136492,8631364,7.2749999999999995
58,2508,9.0,863136494,8631364,7.275
59,2508,9.0,863136494,8631364,7.275
60,2509,9.0,863136496,8631364,7.275
61,2509,9.0,863136496,8631364,7.275
62,2544,7.0,8631368,863136,7.2749999999999995
63,2544,7.0,8631368,863136,7.275
64,2544,7.0,8631368,863136,7.275
65,2544,7.0,8631368,863136,7.275
66,2544,7.0,8631368,863136,7.275
67,2544,7.0,8631368,863136,7.2749999999999995
68,2544,7.0,8631368,863136,7.275
69,2544,7.0,8631368,863136,7.2749999999999995
70,2544,7.0,8631368,863136,7.275
71,2544,7.0,8631368,863136,7.275
72,2544,7.0,8631368,863136,7.275
73,2544,7.0,8631368,863136,7.275
74,2544,7.0,8631368,863136,7.2749999999999995
75,2544,7.0,8631368,863136,7.275
76,2546,9.0,863136844,86313684,7.275
77,2546,9.0,863136844,86313684,7.275
78,2547,9.0,863136846,86313684,7.275
79,2547,9.0,863136846,86313684,7.275
80,2548,8.0,86313682,8631368,7.275
81,2548,8.0,86313682,8631368,7.2749999999999995
82,2548,8.0,86313682,8631368,7.275
83,2548,8.0,86313682,8631368,7.275
84,2556,8.0,86313684,8631368,7.2749999999999995
85,2556,8.0,86313684,8631368,7.2749999999999995
86,2556,8.0,86313684,8631368,7.275
87,2556,8.0,86313684,8631368,7.275
88,2556,8.0,86313684,8631368,7.275
89,2563,9.0,863136886,86313688,7.2749999999999995
90,2563,9.0,863136886,86313688,7.275
91,2564,9.0,863136888,86313688,7.2749999999999995
92,2564,9.0,863136888,86313688,7.2749999999999995
93,2564,9.0,863136888,86313688,7.275
94,2565,10.0,8631368882,863136888,7.2749999999999995
95,2565,10.0,8631368882,863136888,7.2749999999999995
96,2565,10.0,8631368882,863136888,7.2749999999999995
97,2569,9.0,863136874,8631368,7.275
98,2569,9.0,863136874,8631368,7.275
99,2570,10.0,8631368742,863136874,7.2749999999999995
100,2570,10.0,8631368742,863136874,7.275
101,2573,10.0,8631368884,863136888,7.2749999999999995
102,2573,10.0,8631368884,863136888,7.275
103,2576,8.0,86313688,8631368,7.2749999999999995
104,2576,8.0,86313688,8631368,7.275
105,2576,8.0,86313688,8631368,7.275
106,2576,8.0,86313688,8631368,7.2749999999999995
107,2576,8.0,86313688,8631368,7.275
108,2576,8.0,86313688,8631368,7.2749999999999995
109,2576,8.0,86313688,8631368,7.2749999999999995
110,2576,8.0,86313688,8631368,7.2749999999999995
111,2576,8.0,86313688,8631368,7.275
112,2576,8.0,86313688,8631368,7.2749999999999995
113,2577,9.0,863136882,86313688,7.275
114,2577,9.0,863136882,86313688,7.275
115,2578,9.0,863136884,86313688,7.275
116,2578,9.0,863136884,86313688,7.275
117,2578,9.0,863136884,86313688,7.275
118,2579,10.0,8631368842,863136884,7.275
119,2580,11.0,86313688422,8631368842,7.275
120,5123,5.0,86314,86,7.275
121,5123,5.0,86314,86,7.275
122,5123,5.0,86314,86,7.275
123,5123,5.0,86314,86,7.275
124,5123,5.0,86314,86,7.275
125,5123,5.0,86314,86,7.275
126,5123,5.0,86314,86,7.275
127,5123,5.0,86314,86,7.275
128,5123,5.0,86314,86,7.275
129,5123,5.0,86314,86,7.275
130,5123,5.0,86314,86,7.275
131,5123,5.0,86314,86,7.275
132,5123,5.0,86314,86,7.275
133,5123,5.0,86314,86,7.275
134,5123,5.0,86314,86,7.275
135,5123,5.0,86314,86,7.275
136,5123,5.0,86314,86,7.275
137,5123,5.0,86314,86,7.275
138,5123,5.0,86314,86,7.275
139,5123,5.0,86314,86,7.2749999999999995
140,5123,5.0,86314,86,7.275
141,5123,5.0,86314,86,7.275
142,5123,5.0,86314,86,7.275
143,5123,5.0,86314,86,7.2749999999999995
144,5123,5.0,86314,86,7.2749999999999995
145,5123,5.0,86314,86,7.2749999999999995
146,5123,5.0,86314,86,7.275
147,5123,5.0,86314,86,7.275
148,5123,5.0,86314,86,7.275
149,5123,5.0,86314,86,7.2749999999999995
150,5123,5.0,86314,86,7.275
151,5123,5.0,86314,86,7.2749999999999995
152,5123,5.0,86314,86,7.275
153,5123,5.0,86314,86,7.275
154,5123,5.0,86314,86,7.275
155,5123,5.0,86314,86,7.275
156,5123,5.0,86314,86,7.275
157,5123,5.0,86314,86,7.275
158,5123,5.0,86314,86,7.275
159,5123,5.0,86314,86,7.275
160,5123,5.0,86314,86,7.2749999999999995
161,5123,5.0,86314,86,7.2749999999999995
162,5123,5.0,86314,86,7.2749999999999995
163,5123,5.0,86314,86,7.275
164,5123,5.0,86314,86,7.2749999999999995
165,5123,5.0,86314,86,7.2749999999999995
166,5123,5.0,86314,86,7.275
167,5123,5.0,86314,86,7.275
168,5123,5.0,86314,86,7.275
169,5123,5.0,86314,86,7.275
170,5123,5.0,86314,86,7.275
