,fid,nunivotcda,cocursodag,cocdadesag,max,Clase s/ res 222/02
0,6,11.0,86319878252,863198782,1.8034937541750349,Clase1
1,11,9.0,863183144,86318314,2.104407189630175,Clase1
2,11,9.0,863183144,86318314,2.104407189630175,Clase1
3,11,9.0,863183144,86318314,2.104407189630175,Clase1
4,12,10.0,8631983632,86319836,1.979582331105497,Clase1
5,12,10.0,8631983632,86319836,1.979582331105497,Clase1
6,12,10.0,8631983632,86319836,1.979582331105497,Clase1
7,12,10.0,8631983632,86319836,1.979582331105497,Clase1
8,12,10.0,8631983632,86319836,1.979582331105497,Clase1
9,17,5.0,86318,86,2.011435050886054,Clase1
10,17,5.0,86318,86,1.700193043503392,Clase1
11,17,5.0,86318,86,1.6920789804079424,Clase1
12,17,5.0,86318,86,1.6920789804079424,Clase1
13,17,5.0,86318,86,1.67996400435635,Clase1
14,17,5.0,86318,86,1.67996400435635,Clase1
15,17,5.0,86318,86,1.6655986154194369,Clase1
16,17,5.0,86318,86,1.6655986154194369,Clase1
17,17,5.0,86318,86,1.6514187638416133,Clase1
18,17,5.0,86318,86,1.6514187638416133,Clase1
19,17,5.0,86318,86,1.6486205049241922,Clase1
20,17,5.0,86318,86,1.6486205049241922,Clase1
21,17,5.0,86318,86,1.6730238680975242,Clase1
22,17,5.0,86318,86,1.6730238680975242,Clase1
23,17,5.0,86318,86,1.6712132670945803,Clase1
24,17,5.0,86318,86,1.6712132670945803,Clase1
25,17,5.0,86318,86,1.6043995226353045,Clase1
26,17,5.0,86318,86,1.6043995226353045,Clase1
27,17,5.0,86318,86,1.6169403570816958,Clase1
28,17,5.0,86318,86,1.6169403570816958,Clase1
29,17,5.0,86318,86,1.6364259236181173,Clase1
30,17,5.0,86318,86,1.6364259236181173,Clase1
31,17,5.0,86318,86,1.623025559778902,Clase1
32,17,5.0,86318,86,1.623025559778902,Clase1
33,17,5.0,86318,86,1.6463076316248086,Clase1
34,17,5.0,86318,86,1.6463076316248086,Clase1
35,17,5.0,86318,86,1.5375306695599884,Clase1
36,17,5.0,86318,86,1.5459546833048246,Clase1
37,17,5.0,86318,86,1.533593951773772,Clase1
38,17,5.0,86318,86,1.5459546833048246,Clase1
39,17,5.0,86318,86,1.5419691848367731,Clase1
40,17,5.0,86318,86,1.5419691848367731,Clase1
41,17,5.0,86318,86,1.5494519056417073,Clase1
42,17,5.0,86318,86,1.5494519056417073,Clase1
43,17,5.0,86318,86,1.545432926001389,Clase1
44,17,5.0,86318,86,1.545432926001389,Clase1
45,17,5.0,86318,86,1.5414657910402563,Clase1
46,17,5.0,86318,86,1.5414657910402563,Clase1
47,17,5.0,86318,86,1.5535307786961483,Clase1
48,17,5.0,86318,86,1.5613041940340053,Clase1
49,17,5.0,86318,86,1.57670939884299,Clase1
50,17,5.0,86318,86,1.57670939884299,Clase1
51,17,5.0,86318,86,1.5728322848545189,Clase1
52,17,5.0,86318,86,1.5728322848545189,Clase1
53,17,5.0,86318,86,1.486996135210363,Clase1
54,17,5.0,86318,86,1.6410731567495367,Clase1
55,17,5.0,86318,86,1.5378444726120533,Clase1
56,17,5.0,86318,86,1.5378444726120533,Clase1
57,17,5.0,86318,86,1.4837340236537506,Clase1
58,17,5.0,86318,86,1.4837340236537506,Clase1
59,17,5.0,86318,86,1.470152222003637,Clase1
60,17,5.0,86318,86,1.473706703309433,Clase1
61,17,5.0,86318,86,1.4837340236537506,Clase1
62,17,5.0,86318,86,1.4837340236537506,Clase1
63,17,5.0,86318,86,1.4868193565054322,Clase1
64,17,5.0,86318,86,1.4959847680645562,Clase1
65,17,5.0,86318,86,1.4765020129162405,Clase1
66,17,5.0,86318,86,1.495374410292513,Clase1
67,17,5.0,86318,86,1.495374410292513,Clase1
68,17,5.0,86318,86,1.495374410292513,Clase1
69,17,5.0,86318,86,1.4983086088205222,Clase1
70,17,5.0,86318,86,1.4983086088205222,Clase1
71,17,5.0,86318,86,1.4983086088205222,Clase1
72,17,5.0,86318,86,1.4983086088205222,Clase1
73,17,5.0,86318,86,1.4831828393001882,Clase1
74,17,5.0,86318,86,1.5027108282030164,Clase1
75,17,5.0,86318,86,1.4566027487847808,Clase1
76,17,5.0,86318,86,1.462876305779643,Clase1
77,17,5.0,86318,86,1.462876305779643,Clase1
78,17,5.0,86318,86,1.462876305779643,Clase1
79,17,5.0,86318,86,1.462876305779643,Clase1
80,17,5.0,86318,86,1.462876305779643,Clase1
81,17,5.0,86318,86,1.4581380004491182,Clase1
82,17,5.0,86318,86,1.4831828393001882,Clase1
83,17,5.0,86318,86,1.4566027487847808,Clase1
84,17,5.0,86318,86,1.462876305779643,Clase1
85,17,5.0,86318,86,1.4589116607105324,Clase1
86,17,5.0,86318,86,1.4589116607105324,Clase1
87,17,5.0,86318,86,1.452019172077865,Clase1
88,17,5.0,86318,86,1.4571690698549546,Clase1
89,17,5.0,86318,86,1.4366997108328254,Clase1
90,17,5.0,86318,86,1.4446395516438422,Clase1
91,17,5.0,86318,86,1.437481739141521,Clase1
92,17,5.0,86318,86,1.4566027487847808,Clase1
93,17,5.0,86318,86,1.4960686312078735,Clase1
94,17,5.0,86318,86,1.4963836784391005,Clase1
95,17,5.0,86318,86,1.4963836784391005,Clase1
96,17,5.0,86318,86,1.5174690741178298,Clase1
97,17,5.0,86318,86,1.486241082922099,Clase1
98,17,5.0,86318,86,1.4903951943215075,Clase1
