,fid,nunivotcda,cocursodag,cocdadesag,max,Clase s/ res 222/02
0,6,11.0,86319878252,863198782,6.866366310741338,Clase1
1,11,9.0,863183144,86318314,6.972545738738759,Clase1
2,11,9.0,863183144,86318314,6.972545738738759,Clase1
3,11,9.0,863183144,86318314,6.972545738738759,Clase1
4,12,10.0,8631983632,86319836,6.916521402624699,Clase1
5,12,10.0,8631983632,86319836,6.916521402624699,Clase1
6,12,10.0,8631983632,86319836,6.916521402624699,Clase1
7,12,10.0,8631983632,86319836,6.916521402624699,Clase1
8,12,10.0,8631983632,86319836,6.916521402624699,Clase1
9,17,5.0,86318,86,6.887775280046807,Clase1
10,17,5.0,86318,86,6.966686952560636,Clase1
11,17,5.0,86318,86,6.963827816987574,Clase1
12,17,5.0,86318,86,6.965017087323087,Clase1
13,17,5.0,86318,86,6.965017087323087,Clase1
14,17,5.0,86318,86,6.965017087323087,Clase1
15,17,5.0,86318,86,6.948989610817666,Clase1
16,17,5.0,86318,86,6.9533328766856,Clase1
17,17,5.0,86318,86,6.9533328766856,Clase1
18,17,5.0,86318,86,6.955102087336277,Clase1
19,17,5.0,86318,86,6.943172001763303,Clase1
20,17,5.0,86318,86,6.943172001763303,Clase1
21,17,5.0,86318,86,6.957626105930195,Clase1
22,17,5.0,86318,86,6.958527536725547,Clase1
23,17,5.0,86318,86,6.958527536725547,Clase1
24,17,5.0,86318,86,6.958527536725547,Clase1
25,17,5.0,86318,86,6.910849083791305,Clase1
26,17,5.0,86318,86,6.921540808367137,Clase1
27,17,5.0,86318,86,6.928476065083454,Clase1
28,17,5.0,86318,86,6.930997025811296,Clase1
29,17,5.0,86318,86,6.937258626068906,Clase1
30,17,5.0,86318,86,6.938944684162667,Clase1
31,17,5.0,86318,86,6.935672243923735,Clase1
32,17,5.0,86318,86,6.935672243923735,Clase1
33,17,5.0,86318,86,6.936304638122631,Clase1
34,17,5.0,86318,86,6.940294364267421,Clase1
35,17,5.0,86318,86,6.872922950486823,Clase1
36,17,5.0,86318,86,6.861458387581199,Clase1
37,17,5.0,86318,86,6.861458387581199,Clase1
38,17,5.0,86318,86,6.861458387581199,Clase1
39,17,5.0,86318,86,6.839120888563834,Clase1
40,17,5.0,86318,86,6.839120888563834,Clase1
41,17,5.0,86318,86,6.901497242410488,Clase1
42,17,5.0,86318,86,6.901497242410488,Clase1
43,17,5.0,86318,86,6.892928524676315,Clase1
44,17,5.0,86318,86,6.892928524676315,Clase1
45,17,5.0,86318,86,6.883414623967489,Clase1
46,17,5.0,86318,86,6.883414623967489,Clase1
47,17,5.0,86318,86,6.909178774863232,Clase1
48,17,5.0,86318,86,6.909178774863232,Clase1
49,17,5.0,86318,86,6.916171935663371,Clase1
50,17,5.0,86318,86,6.916171935663371,Clase1
51,17,5.0,86318,86,6.910273244880833,Clase1
52,17,5.0,86318,86,6.916046283457807,Clase1
53,17,5.0,86318,86,6.683065635645518,Clase1
54,17,5.0,86318,86,6.789233663415146,Clase1
55,17,5.0,86318,86,6.827307219862268,Clase1
56,17,5.0,86318,86,6.856039300553182,Clase1
57,17,5.0,86318,86,6.733967309296786,Clase1
58,17,5.0,86318,86,6.733967309296786,Clase1
59,17,5.0,86318,86,6.713102976082657,Clase1
60,17,5.0,86318,86,6.739809142258725,Clase1
61,17,5.0,86318,86,6.733967309296786,Clase1
62,17,5.0,86318,86,6.733967309296786,Clase1
63,17,5.0,86318,86,6.797910978196388,Clase1
64,17,5.0,86318,86,6.797910978196388,Clase1
65,17,5.0,86318,86,6.761379499964098,Clase1
66,17,5.0,86318,86,6.761379499964098,Clase1
67,17,5.0,86318,86,6.754468736865804,Clase1
68,17,5.0,86318,86,6.755543220396217,Clase1
69,17,5.0,86318,86,6.856039300553182,Clase1
70,17,5.0,86318,86,6.856039300553182,Clase1
71,17,5.0,86318,86,6.856039300553182,Clase1
72,17,5.0,86318,86,6.856039300553182,Clase1
73,17,5.0,86318,86,6.6564287141540515,Clase1
74,17,5.0,86318,86,6.658680653927578,Clase1
75,17,5.0,86318,86,6.695089792292386,Clase1
76,17,5.0,86318,86,6.695089792292386,Clase1
77,17,5.0,86318,86,6.686797311768799,Clase1
78,17,5.0,86318,86,6.686797311768799,Clase1
79,17,5.0,86318,86,6.686797311768799,Clase1
80,17,5.0,86318,86,6.686797311768799,Clase1
81,17,5.0,86318,86,6.683205318090888,Clase1
82,17,5.0,86318,86,6.683205318090888,Clase1
83,17,5.0,86318,86,6.695089792292386,Clase1
84,17,5.0,86318,86,6.695089792292386,Clase1
85,17,5.0,86318,86,6.739809142258725,Clase1
86,17,5.0,86318,86,6.739809142258725,Clase1
87,17,5.0,86318,86,6.728715730763626,Clase1
88,17,5.0,86318,86,6.728715730763626,Clase1
89,17,5.0,86318,86,6.720327495805067,Clase1
90,17,5.0,86318,86,6.720327495805067,Clase1
91,17,5.0,86318,86,6.7110601138925325,Clase1
92,17,5.0,86318,86,6.7110601138925325,Clase1
93,17,5.0,86318,86,6.674647170015656,Clase1
94,17,5.0,86318,86,6.679463561077866,Clase1
95,17,5.0,86318,86,6.679463561077866,Clase1
96,17,5.0,86318,86,6.694313026545201,Clase1
97,17,5.0,86318,86,6.658680653927578,Clase1
98,17,5.0,86318,86,6.667901523203802,Clase1
99,17,5.0,86318,86,6.667901523203802,Clase1
100,17,5.0,86318,86,6.667901523203802,Clase1
101,17,5.0,86318,86,6.662067064762358,Clase1
102,17,5.0,86318,86,6.679463561077866,Clase1
103,17,5.0,86318,86,6.855083745471297,Clase1
104,17,5.0,86318,86,6.879678854965397,Clase1
105,17,5.0,86318,86,6.887775280046807,Clase1
106,17,5.0,86318,86,6.850793397365751,Clase1
107,17,5.0,86318,86,6.850793397365751,Clase1
108,17,5.0,86318,86,6.850793397365751,Clase1
109,17,5.0,86318,86,6.850793397365751,Clase1
110,17,5.0,86318,86,6.845030950481144,Clase1
111,17,5.0,86318,86,6.855083745471297,Clase1
112,17,5.0,86318,86,6.841751799833115,Clase1
113,17,5.0,86318,86,6.850793397365751,Clase1
114,17,5.0,86318,86,7.054037771528284,Clase1
115,17,5.0,86318,86,7.199699121545772,Clase1
116,17,5.0,86318,86,7.199699121545772,Clase1
117,17,5.0,86318,86,7.24011519481488,Clase1
118,17,5.0,86318,86,7.239058326329637,Clase1
119,17,5.0,86318,86,7.2449948842613425,Clase1
120,17,5.0,86318,86,7.2449948842613425,Clase1
121,17,5.0,86318,86,7.2449948842613425,Clase1
122,17,5.0,86318,86,7.054037771528284,Clase1
123,17,5.0,86318,86,7.054037771528284,Clase1
124,17,5.0,86318,86,6.915872673616855,Clase1
125,17,5.0,86318,86,6.967151874780652,Clase1
126,17,5.0,86318,86,6.923642987124298,Clase1
127,17,5.0,86318,86,6.972362466897796,Clase1
128,17,5.0,86318,86,6.923642987124298,Clase1
129,17,5.0,86318,86,7.054037771528284,Clase1
130,17,5.0,86318,86,6.789233663415146,Clase1
131,17,5.0,86318,86,6.915872673616855,Clase1
132,17,5.0,86318,86,7.135626380836466,Clase1
133,17,5.0,86318,86,7.135626380836466,Clase1
134,17,5.0,86318,86,7.206466203531997,Clase1
135,17,5.0,86318,86,7.206466203531997,Clase1
136,17,5.0,86318,86,7.194482349570215,Clase1
137,17,5.0,86318,86,7.194482349570215,Clase1
138,17,5.0,86318,86,7.135626380836466,Clase1
139,17,5.0,86318,86,7.135626380836466,Clase1
140,17,5.0,86318,86,7.24330599150722,Clase1
141,17,5.0,86318,86,7.24330599150722,Clase1
142,17,5.0,86318,86,7.232888323471757,Clase1
143,17,5.0,86318,86,7.236338731002838,Clase1
144,17,5.0,86318,86,6.840139244219724,Clase1
145,17,5.0,86318,86,6.841751799833115,Clase1
146,17,5.0,86318,86,7.0206203992389575,Clase1
147,17,5.0,86318,86,7.079187335622441,Clase1
148,17,5.0,86318,86,6.890253677760472,Clase1
149,17,5.0,86318,86,6.891443451903714,Clase1
150,17,5.0,86318,86,6.846038243756344,Clase1
151,17,5.0,86318,86,6.846038243756344,Clase1
152,17,5.0,86318,86,7.079187335622441,Clase1
153,17,5.0,86318,86,7.079187335622441,Clase1
154,21,8.0,86319826,8631982,6.864682616100442,Clase1
155,21,8.0,86319826,8631982,6.8938998287850355,Clase1
156,21,8.0,86319826,8631982,6.8938998287850355,Clase1
157,21,8.0,86319826,8631982,6.8938998287850355,Clase1
158,21,8.0,86319826,8631982,6.903006836986118,Clase1
